run_id,label,tn,fp,fn,tp
run_13_lr2.50e-05_wd0.010_warm0.06,insult,14917,253,109,679
run_13_lr2.50e-05_wd0.010_warm0.06,identity_hate,15701,116,27,114
run_14_lr2.50e-05_wd0.010_warm0.10,toxic,14185,244,250,1279
run_14_lr2.50e-05_wd0.010_warm0.10,severe_toxic,15694,104,60,100
run_14_lr2.50e-05_wd0.010_warm0.10,obscene,14991,122,135,710
run_14_lr2.50e-05_wd0.010_warm0.10,threat,15880,30,15,33
run_14_lr2.50e-05_wd0.010_warm0.10,insult,14951,219,135,653
run_14_lr2.50e-05_wd0.010_warm0.10,identity_hate,15743,74,46,95
run_15_lr2.50e-05_wd0.015_warm0.06,toxic,14196,233,237,1292
run_15_lr2.50e-05_wd0.015_warm0.06,severe_toxic,15719,79,70,90
run_15_lr2.50e-05_wd0.015_warm0.06,obscene,14983,130,131,714
run_15_lr2.50e-05_wd0.015_warm0.06,threat,15877,33,16,32
run_15_lr2.50e-05_wd0.015_warm0.06,insult,14909,261,112,676
run_15_lr2.50e-05_wd0.015_warm0.06,identity_hate,15724,93,36,105
run_16_lr2.50e-05_wd0.015_warm0.10,toxic,14141,288,222,1307
run_16_lr2.50e-05_wd0.015_warm0.10,severe_toxic,15734,64,75,85
run_16_lr2.50e-05_wd0.015_warm0.10,obscene,14965,148,120,725
run_16_lr2.50e-05_wd0.015_warm0.10,threat,15881,29,17,31
run_16_lr2.50e-05_wd0.015_warm0.10,insult,14971,199,150,638
run_16_lr2.50e-05_wd0.015_warm0.10,identity_hate,15737,80,46,95
