run_id,label,tn,fp,fn,tp
run_09_lr2.00e-05_wd0.010_warm0.06,insult,14992,178,187,601
run_09_lr2.00e-05_wd0.010_warm0.06,identity_hate,15801,16,97,44
run_10_lr2.00e-05_wd0.010_warm0.10,toxic,14250,179,298,1231
run_10_lr2.00e-05_wd0.010_warm0.10,severe_toxic,15778,20,122,38
run_10_lr2.00e-05_wd0.010_warm0.10,obscene,14988,125,138,707
run_10_lr2.00e-05_wd0.010_warm0.10,threat,15904,6,28,20
run_10_lr2.00e-05_wd0.010_warm0.10,insult,14990,180,172,616
run_10_lr2.00e-05_wd0.010_warm0.10,identity_hate,15799,18,95,46
run_11_lr2.00e-05_wd0.015_warm0.06,toxic,14262,167,307,1222
run_11_lr2.00e-05_wd0.015_warm0.06,severe_toxic,15778,20,119,41
run_11_lr2.00e-05_wd0.015_warm0.06,obscene,14985,128,134,711
run_11_lr2.00e-05_wd0.015_warm0.06,threat,15902,8,29,19
run_11_lr2.00e-05_wd0.015_warm0.06,insult,14991,179,181,607
run_11_lr2.00e-05_wd0.015_warm0.06,identity_hate,15801,16,94,47
run_12_lr2.00e-05_wd0.015_warm0.10,toxic,14251,178,305,1224
run_12_lr2.00e-05_wd0.015_warm0.10,severe_toxic,15777,21,122,38
run_12_lr2.00e-05_wd0.015_warm0.10,obscene,14990,123,137,708
run_12_lr2.00e-05_wd0.015_warm0.10,threat,15904,6,31,17
run_12_lr2.00e-05_wd0.015_warm0.10,insult,14991,179,183,605
run_12_lr2.00e-05_wd0.015_warm0.10,identity_hate,15801,16,93,48
run_13_lr2.50e-05_wd0.010_warm0.06,toxic,14275,154,325,1204
run_13_lr2.50e-05_wd0.010_warm0.06,severe_toxic,15773,25,120,40
run_13_lr2.50e-05_wd0.010_warm0.06,obscene,14998,115,151,694
run_13_lr2.50e-05_wd0.010_warm0.06,threat,15903,7,32,16
run_13_lr2.50e-05_wd0.010_warm0.06,insult,14993,177,178,610
run_13_lr2.50e-05_wd0.010_warm0.06,identity_hate,15802,15,96,45
run_14_lr2.50e-05_wd0.010_warm0.10,toxic,14262,167,309,1220
run_14_lr2.50e-05_wd0.010_warm0.10,severe_toxic,15785,13,133,27
run_14_lr2.50e-05_wd0.010_warm0.10,obscene,15000,113,151,694
run_14_lr2.50e-05_wd0.010_warm0.10,threat,15903,7,31,17
run_14_lr2.50e-05_wd0.010_warm0.10,insult,14995,175,181,607
run_14_lr2.50e-05_wd0.010_warm0.10,identity_hate,15800,17,92,49
run_15_lr2.50e-05_wd0.015_warm0.06,toxic,14272,157,327,1202
run_15_lr2.50e-05_wd0.015_warm0.06,severe_toxic,15779,19,123,37
run_15_lr2.50e-05_wd0.015_warm0.06,obscene,14999,114,152,693
run_15_lr2.50e-05_wd0.015_warm0.06,threat,15902,8,27,21
run_15_lr2.50e-05_wd0.015_warm0.06,insult,14992,178,182,606
run_15_lr2.50e-05_wd0.015_warm0.06,identity_hate,15795,22,94,47
run_16_lr2.50e-05_wd0.015_warm0.10,toxic,14251,178,309,1220
run_16_lr2.50e-05_wd0.015_warm0.10,severe_toxic,15786,12,136,24
run_16_lr2.50e-05_wd0.015_warm0.10,obscene,15004,109,159,686
run_16_lr2.50e-05_wd0.015_warm0.10,threat,15900,10,30,18
run_16_lr2.50e-05_wd0.015_warm0.10,insult,14997,173,186,602
run_16_lr2.50e-05_wd0.015_warm0.10,identity_hate,15798,19,93,48
